name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
HOT ISSUE,https://static.wikia.nocookie.net/kpop/images/b/b2/HOT_ISSUE_Icons_group_concept_photo_2.png/revision/latest/scale-to-width-down/350?cb=20210914150256,,,,South Korea,,"April 28, 2021","April 22, 2022",2021–2022,S2 Entertainment,,[],"['Mayna', 'Nahyun', 'Hyeongshin', 'Dana', 'Yewon', 'Yebin', 'Dain']",['http://s2ent.co.kr/34'],"['http://cafe.daum.net/HOT.ISSUE', 'https://www.facebook.com/HOTISSUE.S2', 'https://www.instagram.com/hotissue_s2?/', 'https://www.tiktok.com/@hotissue_s2_', 'https://twitter.com/hotissue_s2', 'https://www.youtube.com/channel/UCLMPaSnZXeUHA_AeOGJhvfg', 'https://www.weibo.com/7573838980']",SURE (슈어) [1],,HOT ISSUE Wiki,,HOT ISSUE (group),https://kpop.fandom.com/wiki/HOT_ISSUE_(group),group,female,"{'subscribers': 82800, 'top_videos': []}",82800.0,[],"['http://cafe.daum.net/HOT.ISSUE', 'https://www.facebook.com/HOTISSUE.S2', 'https://www.instagram.com/hotissue_s2?/', 'https://www.tiktok.com/@hotissue_s2_', 'https://twitter.com/hotissue_s2', 'https://www.youtube.com/channel/UCLMPaSnZXeUHA_AeOGJhvfg', 'https://www.weibo.com/7573838980']",https://www.youtube.com/channel/UCLMPaSnZXeUHA_AeOGJhvfg
HOT TEEN,https://static.wikia.nocookie.net/kpop/images/a/af/HOT_TEEN_Hot_Teenager_promo_photo_1.png/revision/latest/scale-to-width-down/350?cb=20201220185453,핫틴,,,South Korea,"Dance, hip-hop","June 1, 2019",c. late 2019,2019,TIPTOP Entertainment,,[],"['Eunjeong', 'Yevon', 'Yewan']",[],[],,,,,HOT TEEN,https://kpop.fandom.com/wiki/HOT_TEEN,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
HOTTIES,https://static.wikia.nocookie.net/kpop/images/8/87/HOTTIES_1st_Mini_Album_group_concept_photo_%282%29.png/revision/latest/scale-to-width-down/350?cb=20200305215031,핫티즈,,,"Seoul, South Korea",Pop,"October 5, 2015",c. 2017,2015–2017,Solerino,,[],"['Hyena', 'Soyul', 'Gyuri', 'Hyerin', 'Ellie']",[],"['https://www.facebook.com/HOTTIESOfficial00', 'https://www.instagram.com/hotties_bambambam/', 'https://cafe.naver.com/hotties3930', 'https://twitter.com/solreino1', 'https://www.youtube.com/channel/UCdjMEK8mEUb_Z2ndrh4MyNA']",,,,,HOTTIES,https://kpop.fandom.com/wiki/HOTTIES,group,female,"{'subscribers': 834, 'top_videos': []}",834.0,[],"['https://www.facebook.com/HOTTIESOfficial00', 'https://www.instagram.com/hotties_bambambam/', 'https://cafe.naver.com/hotties3930', 'https://twitter.com/solreino1', 'https://www.youtube.com/channel/UCdjMEK8mEUb_Z2ndrh4MyNA']",https://www.youtube.com/channel/UCdjMEK8mEUb_Z2ndrh4MyNA
HOWZ,https://static.wikia.nocookie.net/kpop/images/3/3a/HOWZ_logo.png/revision/latest/scale-to-width-down/350?cb=20200415054655,하우즈,,,"Seoul, South Korea",,,,2020–2021,HOW Entertainment,,[],"['Wang Ke', 'Jeon So Young', 'Lim Sun Young', 'Ehara Nami', 'Lee Ha Eun', 'Choi Ji Hyun']",[],"['https://www.instagram.com/howz_2020/', 'https://twitter.com/HOWZ_2020']",,,Produce 101 Wiki,,HOWZ,https://kpop.fandom.com/wiki/HOWZ,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/howz_2020/', 'https://twitter.com/HOWZ_2020']",
Hwaiting,https://static.wikia.nocookie.net/kpop/images/8/81/Hwaiting_profile_picture.png/revision/latest/scale-to-width-down/350?cb=20210713125838,화이팅,Hwaiting ( RR ) Hwait'ing ( M-R ),,South Korea,Dance pop,"December 30, 2019",c. 2021,2019–2021,Independent (2019) AJA Entertainment (2020–2021),,[],"['Shinju', 'Woomi', 'Yooni', 'Hanbyul']",[],"['https://www.instagram.com/official_hwaiting_2020/', 'https://www.youtube.com/channel/Hwaiting2020']",,,,,Hwaiting,https://kpop.fandom.com/wiki/Hwaiting,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/official_hwaiting_2020/', 'https://www.youtube.com/channel/Hwaiting2020']",https://www.youtube.com/channel/Hwaiting2020
I& Girls,https://static.wikia.nocookie.net/kpop/images/2/27/I%26_Girls_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20220924182005,아이엔걸스,,,South Korea,Dance,"July 19, 2012",c. 2012,2012,STARZON Entertainment,,[],"['Jung Byul', 'Im Sanghee', 'Kim Hyesung', 'Jang Jimin', 'Park Soyeon']",[],['https://twitter.com/iandgirls'],,,,I And Girls Girls & I,I& Girls,https://kpop.fandom.com/wiki/I%26_Girls,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://twitter.com/iandgirls'],
i-13,https://static.wikia.nocookie.net/kpop/images/a/ae/I-13_One_More_Time_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20210422024736,아이 써틴 아이-써틴,,,"Seoul, South Korea",,"October 18, 2005",c. late 2007,2005–2007,Lime Music,,[],"['Ja', 'Chuk', 'In', 'Myo', 'Mo', 'Jin', 'Sa', 'Oh', 'Mi', 'Sin', 'Yu', 'Sul', 'Hae']",[],[],,,,I-13,I-13,https://kpop.fandom.com/wiki/I-13,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
I-Ren,https://static.wikia.nocookie.net/kpop/images/8/8f/I-Ren_Butt_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20191213134650,아이렌,,,South Korea,Dance pop,"August 24, 2016",c. 2017,2016–2017,J Company Entertainment,,[],"['Lee Jin', 'Yoon', 'Kukhwa', 'Boyoung']",[],['https://www.instagram.com/i.ren_4/'],,,,I-REN I-ren,I-Ren,https://kpop.fandom.com/wiki/I-Ren,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/i.ren_4/'],
I.B.I,https://static.wikia.nocookie.net/kpop/images/2/27/I.B.I_Molae_Molae_promo_photo_%283%29.png/revision/latest/scale-to-width-down/350?cb=20230508102004,,,,"Seoul, South Korea",Pop,"August 18, 2016",c. late 2016/early 2017,2016,LOEN Entertainment,Produce 101,[],"['Haein', 'Sohee', 'Chaekyung', 'Suhyun', 'Hyeri']",[],[],,,Produce 101 Wiki,IBI,I.B.I,https://kpop.fandom.com/wiki/I.B.I,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
I.C.E,https://static.wikia.nocookie.net/kpop/images/1/1c/I.C.E_2019_group_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20210103154915,,,,"Seoul, South Korea",Pop,"November 16, 2015","July 20, 2022",2015–2022,HS Entertainment,,[],"['Kimmi', 'Yoo Na', 'Da Hye', 'U-Jin', 'Minju']",['http://hsenter.com/HSentertainment/sub2_5.html'],"['http://cafe.daum.net/i.c.e', 'https://www.facebook.com/Official.I.C.E1124', 'https://www.youtube.com/channel/UCsQYqQdNqTWM7WV0AhHspRA']",,,,,I.C.E,https://kpop.fandom.com/wiki/I.C.E,group,female,"{'subscribers': 2570, 'top_videos': []}",2570.0,[],"['http://cafe.daum.net/i.c.e', 'https://www.facebook.com/Official.I.C.E1124', 'https://www.youtube.com/channel/UCsQYqQdNqTWM7WV0AhHspRA']",https://www.youtube.com/channel/UCsQYqQdNqTWM7WV0AhHspRA
I.G,https://static.wikia.nocookie.net/kpop/images/8/89/I.G_pre-debut_profile_picture_%282%29.png/revision/latest/scale-to-width-down/350?cb=20201230143920,아이지,Aiji ( RR ) Aichi ( M-R ),,South Korea,,,c. August 2021,2020–2021,Coville Inc. (2021) EnterQeen Entertainment (2020–2021) Red Label Entertainment (2020),,[],"['Baekhui', 'Erina', 'Seungyeon', 'Ayaka', 'So Yeop', 'Cheoum', 'Yejeong', 'Riyu', 'Sera', 'Yesol', 'Usom', 'Sua']",[],"['https://www.tiktok.com/@ig__official', 'https://twitter.com/IG_InsideGlory', 'https://www.youtube.com/@i.g_official1273']",,,,Inside Glory,I.G,https://kpop.fandom.com/wiki/I.G,group,female,"{'subscribers': 227, 'top_videos': []}",227.0,[],"['https://www.tiktok.com/@ig__official', 'https://twitter.com/IG_InsideGlory', 'https://www.youtube.com/@i.g_official1273']",https://www.youtube.com/@i.g_official1273
